Isolate,Sequenceing_Date,Pool,MID_Tag,Location,Publication,Collection_Date,Age,Disease_Status
3D7,13-Apr,P1,MID46-47,3D7,current,NA,NA,Lab_isolates
3D7,13-Aug,P1,MID15-18,3D7,current,NA,NA,Lab_isolates
3D7,13-Jul,P1,MID39-40,3D7,current,NA,NA,Lab_isolates
3D7,13-Mar,P1,MID54,3D7,current,NA,NA,Lab_isolates
3D7,13-May,P1,MID8-8,3D7,current,NA,NA,Lab_isolates
3D7,12-Oct,P1,MID62,3D7,current,NA,NA,Lab_isolates
3D7,12-Oct,P3,MID62,3D7,current,NA,NA,Lab_isolates
3D7,12-Oct,P2,MID62,3D7,current,NA,NA,Lab_isolates
3D7,12-Oct,P4,MID62,3D7,current,NA,NA,Lab_isolates
3D7,11-Sep,P3,MID58,3D7,current,NA,NA,Lab_isolates
3D7,11-Sep,P3,MID44,3D7,current,NA,NA,Lab_isolates
3D7xDD2,11-Apr,P4,MID57,3D7xDD2,current,NA,NA,Lab_isolates
3D7xDD2,11-Sep,P4,MID6,3D7xDD2,current,NA,NA,Lab_isolates
Col30,11-Sep,P3,MID38,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col24,11-Sep,P1,MID38,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col15,11-Sep,P1,MID36,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col8,11-Sep,P4,MID34,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col13,11-Sep,P4,MID35,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col23,11-Sep,P4,MID37,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col5,11-Sep,P2,MID34,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col16,11-Sep,P2,MID36,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col9,11-Sep,P1,MID35,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col21,11-Sep,P2,MID37,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col4,11-Sep,P1,MID34,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col25,11-Sep,P2,MID38,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col2,11-Sep,P3,MID33,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col1,11-Sep,P2,MID33,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col7,11-Sep,P3,MID34,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col11,11-Sep,P3,MID35,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col22,11-Sep,P3,MID37,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col3,11-Sep,P4,MID33,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col18,11-Sep,P1,MID37,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col17,11-Sep,P3,MID36,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
Col10,11-Sep,P2,MID35,Colombia_Turbo,Restrepo,2002-2004,All,Uncomplicated
DD2,11-Apr,P2,MID57,DD2,current,NA,NA,Lab_isolates
DD2,13-Apr,P1,MID47-47,DD2,current,NA,NA,Lab_isolates
DD2,13-Aug,P2,MID16-18,DD2,current,NA,NA,Lab_isolates
DD2,13-Jul,P2,MID40-40,DD2,current,NA,NA,Lab_isolates
DD2,13-Mar,P3,MID56,DD2,current,NA,NA,Lab_isolates
DD2,13-May,P2,MID8-11,DD2,current,NA,NA,Lab_isolates
DD2,11-Sep,P3,MID6,DD2,current,NA,NA,Lab_isolates
DD2xHB3,13-Apr,P2,MID47-48,DD2xHB3,current,NA,NA,Lab_isolates
DD2xHB3,13-Mar,P4,MID57,DD2xHB3,current,NA,NA,Lab_isolates
DD2xHB3,13-May,P2,MID10-10,DD2xHB3,current,NA,NA,Lab_isolates
Gc22,11-Sep,P3,MID4,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc53,11-Sep,P1,MID16,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc14,11-Sep,P4,MID2,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc35,11-Sep,P2,MID5,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc50,11-Sep,P2,MID16,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc15,11-Sep,P1,MID3,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc2,11-Sep,P2,MID1,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc28,11-Sep,P2,MID4,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc46,11-Sep,P3,MID15,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc39,11-Sep,P1,MID6,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc13,11-Sep,P1,MID11,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc7,11-Sep,P1,MID2,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc6,11-Sep,P4,MID1,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc21,11-Sep,P1,MID4,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc47,11-Sep,P2,MID7,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc58,11-Sep,P2,MID17,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc26,11-Sep,P3,MID13,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc42,11-Sep,P2,MID15,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc49,11-Sep,P4,MID15,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc1,11-Sep,P1,MID1,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc23,11-Sep,P4,MID11,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc25,11-Sep,P2,MID13,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc45,11-Sep,P1,MID7,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc24,11-Sep,P1,MID13,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc31,11-Sep,P3,MID14,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc5,11-Sep,P3,MID1,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc27,11-Sep,P4,MID13,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc38,11-Sep,P1,MID15,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc19,11-Sep,P2,MID3,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc36,11-Sep,P3,MID5,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc37,11-Sep,P4,MID5,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc18,11-Sep,P3,MID11,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc8,11-Sep,P2,MID2,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc17,11-Sep,P2,MID11,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc57,11-Sep,P1,MID17,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc20,11-Sep,P3,MID3,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc32,11-Sep,P1,MID14,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc43,11-Sep,P2,MID6,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc34,11-Sep,P2,MID14,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc11,11-Sep,P3,MID2,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
Gc9,11-Sep,P1,MID10,FrenchGuiana_Camopi,Yalcindag,2006-2008,All,Uncomplicated
G3st16,11-Sep,P2,MID25,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st15,11-Sep,P1,MID25,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st12,11-Sep,P1,MID19,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st23,11-Sep,P1,MID20,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st28,11-Sep,P3,MID26,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st39,11-Sep,P1,MID22,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st48,11-Sep,P1,MID29,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st6,11-Sep,P2,MID18,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st14,11-Sep,P3,MID24,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st27,11-Sep,P4,MID20,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st18,11-Sep,P3,MID25,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st35,11-Sep,P1,MID27,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st2,11-Sep,P3,MID17,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st46,11-Sep,P1,MID23,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st21,11-Sep,P2,MID19,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st43,11-Sep,P3,MID22,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st22,11-Sep,P3,MID19,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st32,11-Sep,P4,MID21,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st44,11-Sep,P2,MID28,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st19,11-Sep,P1,MID26,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st26,11-Sep,P3,MID20,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st8,11-Sep,P1,MID24,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st5,11-Sep,P1,MID18,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st31,11-Sep,P2,MID21,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st30,11-Sep,P1,MID21,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st34,11-Sep,P3,MID21,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st36,11-Sep,P2,MID27,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st25,11-Sep,P2,MID20,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st13,11-Sep,P2,MID24,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
G3st7,11-Sep,P3,MID18,FrenchGuiana_TroisSauts,Yalcindag,2006-2008,All,Uncomplicated
