****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Parallel execution requested.  Will use 20 threads.
Cross-validation will be performed.  Folds=5.
Random seed: 12345
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 1127x6988
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 3.363	Loglikelihood: -546347	(delta): 1.11788e+07
2 (EM) 	Elapsed: 3.181	Loglikelihood: -444756	(delta): 101591
3 (EM) 	Elapsed: 3.15	Loglikelihood: -439523	(delta): 5233.28
4 (EM) 	Elapsed: 3.233	Loglikelihood: -436803	(delta): 2719.51
5 (EM) 	Elapsed: 3.228	Loglikelihood: -434940	(delta): 1863.63
Initial loglikelihood: -434940
Starting main algorithm
1 (QN/Block) 	Elapsed: 9.326	Loglikelihood: -413730	(delta): 21210
2 (QN/Block) 	Elapsed: 9.303	Loglikelihood: -401927	(delta): 11803.4
3 (QN/Block) 	Elapsed: 9.612	Loglikelihood: -395354	(delta): 6572.34
4 (QN/Block) 	Elapsed: 9.578	Loglikelihood: -390338	(delta): 5015.85
5 (QN/Block) 	Elapsed: 9.317	Loglikelihood: -387966	(delta): 2372.09
6 (QN/Block) 	Elapsed: 9.592	Loglikelihood: -386443	(delta): 1522.99
7 (QN/Block) 	Elapsed: 9.32	Loglikelihood: -385545	(delta): 898.26
8 (QN/Block) 	Elapsed: 9.577	Loglikelihood: -384839	(delta): 705.628
9 (QN/Block) 	Elapsed: 9.547	Loglikelihood: -384172	(delta): 667.568
10 (QN/Block) 	Elapsed: 9.786	Loglikelihood: -383355	(delta): 817.121
11 (QN/Block) 	Elapsed: 9.898	Loglikelihood: -382731	(delta): 623.223
12 (QN/Block) 	Elapsed: 9.899	Loglikelihood: -382124	(delta): 607.478
13 (QN/Block) 	Elapsed: 9.701	Loglikelihood: -381601	(delta): 522.938
14 (QN/Block) 	Elapsed: 9.401	Loglikelihood: -381361	(delta): 239.999
15 (QN/Block) 	Elapsed: 8.941	Loglikelihood: -381175	(delta): 185.999
16 (QN/Block) 	Elapsed: 9.614	Loglikelihood: -381063	(delta): 111.692
17 (QN/Block) 	Elapsed: 9.19	Loglikelihood: -380959	(delta): 104.634
