query	titles	subject	qlength	slength	Coverage	nident	percentID	evalue	bitscore
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate PIK29 erythrocyte membrane protein 1 (var-1676) gene, partial cds"	gi|323394961|gb|HQ733662.1|	395	394	99.74683544	394	100	0	728
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate AME6 EMP1 (var-1676) gene, partial sequence"	gi|90570215|gb|DQ134583.1|	395	387	97.97468354	380	98.191	0	676
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate PO19 EMP1 (var-1676) gene, partial sequence"	gi|90570214|gb|DQ134582.1|	395	387	97.97468354	380	98.191	0	676
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate PH1A18 isolate PH1 erythrocyte membrane protein 1 (var) gene, partial cds"	gi|19109746|gb|AY054909.1|	395	387	97.97468354	380	98.191	0	676
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate S99A22 isolate S99 erythrocyte membrane protein 1 (var) gene, partial cds"	gi|19109584|gb|AY054888.1|	395	387	97.97468354	380	98.191	0	676
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate S2A19 isolate S2 erythrocyte membrane protein 1 (var) gene, partial cds"	gi|19109183|gb|AY054835.1|	395	387	97.97468354	380	98.191	0	676
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate N72A2 isolate N72 erythrocyte membrane protein 1 (var) gene, partial cds"	gi|19108925|gb|AY054803.1|	395	387	97.97468354	380	98.191	0	676
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK2 EMP1 (var-1676) gene, partial sequence"	gi|90570212|gb|DQ134580.1|	395	387	97.97468354	379	97.933	0	671
BK471.c0f29s68|apr11.P3.MID24.GY7WJEE03FO2J5.HiQual|BK471|Gabon_Bakoumba	"Plasmodium falciparum isolate DIE1 EMP1 (var-1676) gene, partial sequence"	gi|90570213|gb|DQ134581.1|	395	391	98.98734177	382	97.698	0	671
BK863.c37f6s11|apr11.P2.MID47.GY7WJEE02DIHEW|BK863|Gabon_Bakoumba	"Plasmodium falciparum partial var gene for erythrocyte membrane protein, clone 0812"	gi|78033028|emb|AM116600.1|	385	385	100	385	100	0	712
BK1005.c37f5s6|apr11.P2.MID53.GY7WJEE02DZFBU|BK1005|Gabon_Bakoumba	"Plasmodium falciparum isolate SM2 EMP1 (var-851) gene, partial sequence"	gi|90571437|gb|DQ135805.1|	331	324	97.88519637	322	99.383	1.37E-164	588
BK400.c44f10s19|apr11.P2.MID18.GY7WJEE02EJLYA|BK400|Gabon_Bakoumba	"Plasmodium falciparum partial var gene for erythrocyte membrane protein, clone 0280"	gi|78041180|emb|AM115877.1|	356	355	99.71910112	355	100	0	656
BK400.c44f10s19|apr11.P2.MID18.GY7WJEE02EJLYA|BK400|Gabon_Bakoumba	"Plasmodium falciparum partial var gene for erythrocyte membrane protein, clone 0279"	gi|78041178|emb|AM115876.1|	356	355	99.71910112	355	100	0	656
BK400.c44f10s19|apr11.P2.MID18.GY7WJEE02EJLYA|BK400|Gabon_Bakoumba	"Plasmodium falciparum partial var gene for erythrocyte membrane protein, clone 0278"	gi|78041176|emb|AM115875.1|	356	355	99.71910112	355	100	0	656
BK400.c44f10s19|apr11.P2.MID18.GY7WJEE02EJLYA|BK400|Gabon_Bakoumba	"Plasmodium falciparum partial var gene for erythrocyte membrane protein, clone 0277"	gi|78041174|emb|AM115874.1|	356	355	99.71910112	354	99.718	0	651
BK258.c56f4s5|apr11.P1.MID10.GY7WJEE01B1WML|BK258|Gabon_Bakoumba	"Plasmodium falciparum isolate 127_26 EMP1 (var) gene, partial cds"	gi|251831569|gb|FJ971360.1|	406	406	100	406	100	0	750
BK258.c56f4s5|apr11.P1.MID10.GY7WJEE01B1WML|BK258|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK18 EMP1 (var-1356) gene, partial sequence"	gi|90570583|gb|DQ134951.1|	406	406	100	406	100	0	750
BK911.c46f5s7|apr11.P2.MID49.GY7WJEE02EP783|BK911|Gabon_Bakoumba	"Plasmodium falciparum isolate PIK15 erythrocyte membrane protein 1 (var-1136) gene, partial cds"	gi|323394642|gb|HQ733484.1|	421	421	100	421	100	0	778
BK911.c46f5s7|apr11.P2.MID49.GY7WJEE02EP783|BK911|Gabon_Bakoumba	"Plasmodium falciparum isolate PIK21 erythrocyte membrane protein 1 (var-1136) gene, partial cds"	gi|323394796|gb|HQ733573.1|	421	421	100	420	99.762	0	773
BK911.c46f5s7|apr11.P2.MID49.GY7WJEE02EP783|BK911|Gabon_Bakoumba	"Plasmodium falciparum isolate PIK06 nonfunctional erythrocyte membrane protein 1 (var-1136) gene, partial sequence"	gi|323394260|gb|HQ733277.1|	421	422	100.2375297	421	99.763	0	773
BK911.c46f5s7|apr11.P2.MID49.GY7WJEE02EP783|BK911|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK7 EMP1 (var-1136) gene, partial sequence"	gi|90570377|gb|DQ134745.1|	421	421	100	419	99.525	0	767
BK514.c4f24s28|apr11.P4.MID28.GY7WJEE04JMK8R.HiQual|BK514|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK17 EMP1 (var-1768) gene, partial sequence"	gi|90571046|gb|DQ135414.1|	349	349	100	349	100	0	645
BK514.c4f24s28|apr11.P4.MID28.GY7WJEE04JMK8R.HiQual|BK514|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK23 EMP1 (var-1768) gene, partial sequence"	gi|90571047|gb|DQ135415.1|	349	349	100	347	99.427	1.85E-178	634
BK514.c4f24s28|apr11.P4.MID28.GY7WJEE04JMK8R.HiQual|BK514|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK6 EMP1 (var-1768) gene, partial sequence"	gi|90571045|gb|DQ135413.1|	349	349	100	346	99.14	8.59E-177	628
BK514.c4f24s28|apr11.P4.MID28.GY7WJEE04JMK8R.HiQual|BK514|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK1 EMP1 (var-1768) gene, partial sequence"	gi|90571043|gb|DQ135411.1|	349	348	99.71346705	345	99.138	3.09E-176	627
BK514.c4f24s28|apr11.P4.MID28.GY7WJEE04JMK8R.HiQual|BK514|Gabon_Bakoumba	"Plasmodium falciparum isolate DIE3 EMP1 (var-1768) gene, partial sequence"	gi|90571049|gb|DQ135417.1|	349	348	99.71346705	344	98.851	3.99E-175	623
BK514.c4f24s28|apr11.P4.MID28.GY7WJEE04JMK8R.HiQual|BK514|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK25 EMP1 (var-1768) gene, partial sequence"	gi|90571048|gb|DQ135416.1|	349	338	96.84813754	337	99.704	5.17E-174	619
BK514.c4f24s28|apr11.P4.MID28.GY7WJEE04JMK8R.HiQual|BK514|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK5 EMP1 (var-1768) gene, partial sequence"	gi|90571044|gb|DQ135412.1|	349	328	93.98280802	328	100	4.02E-170	606
BK277.c5f11s12|apr11.P1.MID11.GY7WJEE01A2FEJ.HiQual|BK277|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK18 EMP1 (var-1852) gene, partial sequence"	gi|90571206|gb|DQ135574.1|	397	397	100	397	100	0	734
BK277.c5f11s12|apr11.P1.MID11.GY7WJEE01A2FEJ.HiQual|BK277|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK17 EMP1 (var-1852) gene, partial sequence"	gi|90571205|gb|DQ135573.1|	397	397	100	397	100	0	734
BK277.c5f11s12|apr11.P1.MID11.GY7WJEE01A2FEJ.HiQual|BK277|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK15 EMP1 (var-1852) gene, partial sequence"	gi|90571204|gb|DQ135572.1|	397	397	100	397	100	0	734
BK277.c5f11s12|apr11.P1.MID11.GY7WJEE01A2FEJ.HiQual|BK277|Gabon_Bakoumba	"Plasmodium falciparum isolate BAK22 EMP1 (var-1852) gene, partial sequence"	gi|90571207|gb|DQ135575.1|	397	394	99.24433249	394	100	0	728
BK1065.c47f7s7|apr11.P2.MID60.GY7WJEE02DCR3W|BK1065|Gabon_Bakoumba	"Plasmodium falciparum isolate KIL39 erythrocyte membrane protein 1 (var-2697) gene, partial cds"	gi|323393513|gb|HQ732881.1|	334	334	100	334	100	1.77E-173	617
BK1065.c47f7s7|apr11.P2.MID60.GY7WJEE02DCR3W|BK1065|Gabon_Bakoumba	"Plasmodium falciparum isolate PIK11 erythrocyte membrane protein 1 (var-2697) gene, partial cds"	gi|323394512|gb|HQ733412.1|	334	334	100	334	100	1.77E-173	617
BK1065.c47f7s7|apr11.P2.MID60.GY7WJEE02DCR3W|BK1065|Gabon_Bakoumba	"Plasmodium falciparum clone Pap2.A5 erythrocyte membrane protein 1 (var) gene, partial cds"	gi|480321527|gb|KC608895.1|	334	334	100	333	99.701	8.24E-172	612
BK1065.c47f7s7|apr11.P2.MID60.GY7WJEE02DCR3W|BK1065|Gabon_Bakoumba	"Plasmodium falciparum isolate D10 erythrocyte membrane protein 1 (EMP1) gene, partial cds"	gi|343112622|gb|JF342594.1|	334	334	100	333	99.701	8.24E-172	612
BK1065.c47f7s7|apr11.P2.MID60.GY7WJEE02DCR3W|BK1065|Gabon_Bakoumba	"Plasmodium falciparum isolate MUZ51 EMP1 (var-1776) gene, partial sequence"	gi|90571061|gb|DQ135429.1|	334	330	98.80239521	329	99.697	1.38E-169	604
BK1065.c47f7s7|apr11.P2.MID60.GY7WJEE02DCR3W|BK1065|Gabon_Bakoumba	"Plasmodium falciparum isolate PIK11 erythrocyte membrane protein 1 (var-4301) gene, partial cds"	gi|323394490|gb|HQ733401.1|	334	334	100	331	99.102	1.78E-168	601
