read,domain,e-value
BK557.c14f7s9|apr11.P2.MID31.GY7WJEE02D6L07|BK557|Gabon_Bakoumba;sample=BK557;size=1;,DBLa0.22,1.1e-50
UG70281.c81f7s7|aug13.P2.MID4-4.IE15TFC02GPZ24|UG70281|Uganda_Arua;sample=UG70281;size=1;,DBLa0.1,3.8e-52
MRS0148.c30f3s3|apr13.P2.MID11-14.H8MRBDT02GSVAF_rc|MRS0148|Ghana_VeaGowrie;sample=MRS0148;size=1;,DBLa0.11,4.9e-51
UG60098.c27f16s18|mar13.P3.MID29.H6VQLNR03G1PR4.HiQual|UG60098|Uganda_Apac;sample=UG60098;size=1;,DBLa0.24,2.6e-47
UG60073.c11f16s20|mar13.P3.MID28.H6VQLNR03GY9BY.HiQual|UG60073|Uganda_Apac;sample=UG60073;size=1;,DBLa0.23,8e-43
UG80133.c26f15s19|aug13.P1.MID46-46.IE15TFC01ARJR1.HiQual|UG80133|Uganda_Jinja;sample=UG80133;size=6;,DBLa0.19,6.2e-53
MRS0302.c101f6s7|apr13.P2.MID22-24.H8MRBDT02H3GAS|MRS0302|Ghana_VeaGowrie;sample=MRS0302;size=1;,DBLa0.5,2e-52
UG30224.c39f8s12|oct12.P2.MID39.HWSTXOD02DXN56.HiQual|UG30224|Uganda_Kanungu;sample=UG30224;size=1;,DBLa0.14,1.9e-59
MRS0506.c46f8s8|apr13.P2.MID33-35.H8MRBDT02HYR6G|MRS0506|Ghana_Soe;sample=MRS0506;size=1;,DBLa0.23,2.5e-51
MRS0037.c18f15s18|apr13.P1.MID03-04.H8MRBDT01A4LL4|MRS0037|Ghana_VeaGowrie;sample=MRS0037;size=1;,DBLa0.11,4.7e-54
UG80328.c66f8s11|aug13.P2.MID50-53.IE15TFC02IAKRH|UG80328|Uganda_Jinja;sample=UG80328;size=1;,DBLa0.21,8.2e-49
BK621.c46f9s11|apr11.P4.MID36.GY7WJEE04IRD8P_rc.HiQual|BK621|Gabon_Bakoumba;sample=BK621;size=2;,DBLa0.8,4.9e-49
UG70418.c93f3s4|aug13.P2.MID5-6.IE15TFC02G5TFJ_rc|UG70418|Uganda_Arua;sample=UG70418;size=1;,DBLa0.1,4.4e-59
UG50784.c19f19s40|may13.P1.MID7-8.IAK27MS01BZBF4.HiQual|UG50784|Uganda_Kyenjojo;sample=UG50784;size=10;,DBLa0.8,1.9e-52
BK1038.c241f4s4|apr11.P3.MID55.GY7WJEE03GK04A|BK1038|Gabon_Bakoumba;sample=BK1038;size=5;,DBLa0.15,1.4e-54
