Query	Hit	PairwiseID	AlignmentLength	e-value	score
BK863.c37f6s11|apr11.P2.MID47.GY7WJEE02DIHEW|BK863|Gabon_Bakoumba	var1.AF547159	100	36	6.00E-15	71.9
BK362.c4f30s43|apr11.P3.MID14.GY7WJEE03F9AOA.HiQual|BK362|Gabon_Bakoumba	var1.IGHvar11	97.06	68	3.00E-29	119
BK362.c4f30s43|apr11.P3.MID14.GY7WJEE03F9AOA.HiQual|BK362|Gabon_Bakoumba	var1.DD2var25	97.06	68	3.00E-29	119
BK362.c4f30s43|apr11.P3.MID14.GY7WJEE03F9AOA.HiQual|BK362|Gabon_Bakoumba	var1.AJ420411	97.06	68	3.00E-29	119
BK954.c20f5s6|apr11.P1.MID51.GY7WJEE01BCMLT|BK954|Gabon_Bakoumba	var1.DD2var25	100	350	0	694
BK954.c20f5s6|apr11.P1.MID51.GY7WJEE01BCMLT|BK954|Gabon_Bakoumba	var1.AJ420411	100	350	0	694
BK954.c20f5s6|apr11.P1.MID51.GY7WJEE01BCMLT|BK954|Gabon_Bakoumba	var1.IGHvar11	98.29	350	0	646
BK954.c20f5s6|apr11.P1.MID51.GY7WJEE01BCMLT|BK954|Gabon_Bakoumba	var1.HB3var1csa	87.89	355	7.00E-98	347
BK954.c20f5s6|apr11.P1.MID51.GY7WJEE01BCMLT|BK954|Gabon_Bakoumba	var1.AF547159	93.18	44	1.00E-12	63.9
BK950.c54f6s7|apr11.P4.MID50.GY7WJEE04IZ2JQ|BK950|Gabon_Bakoumba	var1.AF547159	100	33	4.00E-13	65.9
MRS0236.c118f6s6|apr13.P2.MID19-19.H8MRBDT02G9NB1_rc|MRS0236|Ghana_VeaGowrie	var1.AF547159	100	34	9.00E-14	67.9
UG10393.c34f15s33|mar13.P1.MID15.H6VQLNR01BI5L8.HiQual|UG10393|Uganda_Tororo	var1.IGHvar11	97.67	43	1.00E-16	77.8
UG10393.c34f15s33|mar13.P1.MID15.H6VQLNR01BI5L8.HiQual|UG10393|Uganda_Tororo	var1.DD2var25	97.67	43	1.00E-16	77.8
UG10393.c34f15s33|mar13.P1.MID15.H6VQLNR01BI5L8.HiQual|UG10393|Uganda_Tororo	var1.AJ420411	97.67	43	1.00E-16	77.8
UG10162.c35f14s22|mar13.P3.MID04.H6VQLNR03GV4FV.HiQual|UG10162|Uganda_Tororo	var1.IGHvar11	97.67	43	1.00E-16	77.8
UG10162.c35f14s22|mar13.P3.MID04.H6VQLNR03GV4FV.HiQual|UG10162|Uganda_Tororo	var1.DD2var25	97.67	43	1.00E-16	77.8
UG10162.c35f14s22|mar13.P3.MID04.H6VQLNR03GV4FV.HiQual|UG10162|Uganda_Tororo	var1.AJ420411	97.67	43	1.00E-16	77.8
MRS0662.c9f20s36|may13.P1.MID41-43.IAK27MS01DGX4O.HiQual|MRS0662|Ghana_Soe	var1.IGHvar11	95.89	73	3.00E-29	119
MRS0662.c9f20s36|may13.P1.MID41-43.IAK27MS01DGX4O.HiQual|MRS0662|Ghana_Soe	var1.DD2var25	95.89	73	3.00E-29	119
MRS0662.c9f20s36|may13.P1.MID41-43.IAK27MS01DGX4O.HiQual|MRS0662|Ghana_Soe	var1.AJ420411	95.89	73	3.00E-29	119
MRS0645.c9f4s10|may13.P1.MID40-42.IAK27MS01AE1Z6|MRS0645|Ghana_Soe	var1.AF547159	100	30	2.00E-11	60
UG30334.c6f28s77|oct12.P2.MID43.HWSTXOD02C7WKY.HiQual|UG30334|Uganda_Kanungu	var1.IGHvar11	95.71	350	2.00E-166	575
UG30334.c6f28s77|oct12.P2.MID43.HWSTXOD02C7WKY.HiQual|UG30334|Uganda_Kanungu	var1.DD2var25	95.71	350	2.00E-166	575
UG30334.c6f28s77|oct12.P2.MID43.HWSTXOD02C7WKY.HiQual|UG30334|Uganda_Kanungu	var1.AJ420411	95.71	350	2.00E-166	575
